order_id,product_name,category,quantity,unit_price,unit_cost,order_date,promised_delivery_date,actual_delivery_date,delivery_status,country,region_risk_score
ORD-001,Microprocessor,Electronics,150,2500,2125,15-03-2025,02-04-2025,01-04-2025,Delivered,USA,2.5
ORD-002,Hydraulic Pump,Machinery,75,8500.5,7225.43,28-02-2025,18-03-2025,20-03-2025,Delivered,Germany,1
ORD-003,Industrial Bearings,Components,300,120.75,102.64,10-04-2025,25-04-2025,24-04-2025,Delivered,China,2
ORD-004,Circuit Breaker,Electronics,50,450,382.5,01-05-2025,18-05-2025,19-05-2025,Delivered,India,7
ORD-005,Pressure Sensor,Electronics,120,3200,2720,22-04-2025,10-05-2025,,Shipped,Brazil,1
ORD-006,Gear Motor,Machinery,40,12500.8,10625.68,30-03-2025,17-04-2025,16-04-2025,Delivered,Japan,2
ORD-007,Control Valve,Components,85,6800.25,5780.21,05-05-2025,20-05-2025,,Pending,France,3.5
ORD-008,Servo Drive,Electronics,60,15000,12750,18-04-2025,05-05-2025,07-05-2025,Delivered,South Korea,2.8
ORD-009,Conveyor Belt,Machinery,25,22000.5,18700.43,22-03-2025,10-04-2025,09-04-2025,Delivered,Canada,1.5
ORD-010,Temperature Sensor,Electronics,200,850.75,723.14,12-05-2025,29-05-2025,,Shipped,Mexico,58
